V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
11.562248229980469,12.438711,10.118163,12.647425,11.572273,12.366045,11.544312,12.4415045,10.139109,12.633979,11.583848,12.370432,11.572651,12.427356,10.115638,12.642609,11.603706,12.346851,11.5427265,12.461055,10.13806,12.658533,11.580755,12.32089,11.552036,12.439724,10.111635,12.637527,11.641492,12.328009,11.548349,12.473189,10.14006,12.6269455,11.571208,12.3464155,11.55573,12.458759,10.106709,12.659335,11.601729,12.328554,11.520666,12.460884,10.114105,12.628914,11.619503,12.354228
11.562102317810059,12.438835,10.1184025,12.646978,11.572498,12.366073,11.5441475,12.441608,10.139323,12.633518,11.584052,12.370443,11.572482,12.427469,10.115859,12.642145,11.603905,12.346878,11.542593,12.461178,10.13829,12.658094,11.580986,12.320947,11.551876,12.43983,10.111863,12.637067,11.641674,12.328041,11.5482,12.473295,10.140288,12.626504,11.571429,12.346453,11.55558,12.458874,10.106951,12.65888,11.60194,12.328596,11.520524,12.460989,10.114334,12.628461,11.6196995,12.354254
11.56149673461914,12.438999,10.11848,12.64678,11.572808,12.366425,11.543547,12.44179,10.139399,12.633304,11.584358,12.370805,11.571882,12.427644,10.115936,12.641929,11.604217,12.347219,11.54199,12.461349,10.13836,12.657893,11.581308,12.321289,11.551272,12.440006,10.111919,12.636846,11.641985,12.328386,11.547588,12.473431,10.140329,12.626277,11.571743,12.3467655,11.554943,12.459003,10.106992,12.6586275,11.602228,12.32891,11.519868,12.461115,10.1143675,12.628189,11.619966,12.354541
11.560992240905762,12.439152,10.118439,12.645866,11.574411,12.366137,11.543059,12.441935,10.139341,12.632412,11.585964,12.370514,11.571369,12.42781,10.115902,12.641026,11.605794,12.346951,11.541518,12.461493,10.138319,12.656988,11.582916,12.321062,11.55073,12.440102,10.111851,12.6358795,11.64348,12.328087,11.547094,12.473553,10.140271,12.625379,11.573347,12.346491,11.554423,12.45912,10.106947,12.657677,11.603794,12.328636,11.519377,12.461217,10.114309,12.627263,11.621503,12.354235
11.561454772949219,12.4393635,10.119333,12.645799,11.572048,12.366844,11.543445,12.442101,10.140263,12.632294,11.583584,12.371196,11.571838,12.427969,10.116779,12.640958,11.603479,12.347642,11.54192,12.461726,10.139232,12.656924,11.580534,12.32168,11.551237,12.440376,10.112808,12.635911,11.641313,12.328804,11.547512,12.4738455,10.141237,12.6252775,11.570933,12.34721,11.554911,12.459403,10.107861,12.657695,11.601489,12.329321,11.519794,12.461502,10.115227,12.627218,11.619266,12.355004
11.559813499450684,12.43948,10.119456,12.645239,11.573946,12.367068,11.541849,12.442265,10.140356,12.631737,11.585486,12.371443,11.570202,12.428135,10.116917,12.640383,11.605364,12.34786,11.540291,12.461824,10.139329,12.656323,11.582454,12.321908,11.549581,12.440488,10.112879,12.635276,11.643127,12.329014,11.545901,12.473905,10.141283,12.624712,11.572903,12.347374,11.5532255,12.459456,10.107933,12.65703,11.603355,12.329512,11.518163,12.461582,10.115318,12.626616,11.621092,12.355141
11.560433387756348,12.439255,10.118938,12.645483,11.574136,12.366749,11.542479,12.442037,10.139852,12.632008,11.58569,12.371127,11.570826,12.427912,10.116404,12.640639,11.605545,12.347556,11.540953,12.461613,10.138826,12.656613,11.58265,12.321646,11.550181,12.440225,10.112347,12.635504,11.643263,12.328687,11.546516,12.473663,10.140766,12.624959,11.57306,12.347071,11.553835,12.459208,10.1074095,12.657261,11.603509,12.329195,11.518749,12.461297,10.114767,12.626816,11.62122,12.354797
11.56143569946289,12.43887,10.118744,12.646748,11.572442,12.366655,11.543485,12.441666,10.139679,12.633279,11.584007,12.371042,11.571842,12.427523,10.116216,12.641918,11.603889,12.347454,11.541906,12.461227,10.138635,12.657854,11.580946,12.32148,11.551227,12.439903,10.112204,12.636841,11.64169,12.328615,11.547529,12.473343,10.140621,12.6262455,11.571394,12.346998,11.554888,12.458899,10.107257,12.658615,11.601895,12.329128,11.519812,12.461029,10.1146555,12.628186,11.619661,12.354794
11.56123161315918,12.438952,10.118498,12.646605,11.5734825,12.366219,11.543297,12.441749,10.139404,12.633138,11.585034,12.370602,11.571611,12.427609,10.115959,12.641756,11.604881,12.34702,11.541733,12.461294,10.138374,12.657706,11.581988,12.3211,11.550997,12.439949,10.111929,12.636652,11.642618,12.32818,11.547339,12.473378,10.140338,12.626119,11.572445,12.346563,11.55468,12.458952,10.107014,12.6584425,11.602903,12.328719,11.519637,12.461073,10.114398,12.628038,11.620632,12.354339
11.560554504394531,12.439247,10.11827,12.646452,11.574053,12.366425,11.542652,12.442099,10.139222,12.633017,11.585647,12.370857,11.570973,12.427938,10.115758,12.641623,11.605498,12.347233,11.541052,12.461608,10.138161,12.657564,11.582578,12.321276,11.550331,12.440273,10.111694,12.6364975,11.6432495,12.328377,11.546657,12.473675,10.140098,12.625941,11.573029,12.346727,11.553971,12.459232,10.1067505,12.658253,11.603479,12.328874,11.518908,12.461361,10.114142,12.627834,11.621204,12.354492
